Order,Size,Algorithm,Time (ms),Log Size (log (n))
ascending,1000000,insertion,47.647024,13.82
random,1000,insertion,5.324763,6.91
descending,100,bubble,0.352752,4.61
ascending,100000,quick,95.696758,11.51
descending,1000,merge,1.133709,6.91
ascending,100000,bubble,2491.352742,11.51
ascending,1000000,bubble,238923.63048,13.82
ascending,10,merge,0.021146,2.3
random,100000,quick,95.985174,11.51
random,10000,quick,5.594442,9.21
descending,1000000,insertion,410839.259354,13.82
random,1000000,bubble,2003076.18936,13.82
descending,1000000,merge,131.923313,13.82
descending,10000,insertion,81.895796,9.21
random,10,merge,0.016239,2.3
descending,10,insertion,0.010655,2.3
descending,10,merge,0.016024,2.3
descending,1000,quick,1.744086,6.91
ascending,100,quick,0.27855,4.61
random,1000000,quick,221.299243,13.82
descending,100000,quick,110.270963,11.51
ascending,1000,insertion,0.045958,6.91
random,1000,quick,1.580193,6.91
ascending,100,insertion,0.00936,4.61
descending,1000000,bubble,1297704.182988,13.82
random,10000,merge,5.615853,9.21
ascending,100000,insertion,5.552564,11.51
descending,100,merge,0.153897,4.61
random,100000,insertion,1919.331306,11.51
random,100,merge,0.129618,4.61
descending,1000000,quick,177.972048,13.82
descending,10,bubble,0.007808,2.3
descending,10000,merge,3.124815,9.21
ascending,100,bubble,0.202351,4.61
ascending,10,insertion,0.004882,2.3
descending,100,quick,0.248389,4.61
descending,10000,bubble,138.66337,9.21
ascending,1000,quick,2.291535,6.91
random,1000000,insertion,152804.234506,13.82
ascending,100000,merge,27.440398,11.51
ascending,1000000,merge,149.591579,13.82
ascending,10000,insertion,0.396006,9.21
ascending,100,merge,0.124161,4.61
ascending,1000000,quick,1071.521583,13.82
random,10,quick,0.028622,2.3
ascending,1000,bubble,3.933648,6.91
random,1000,merge,1.271244,6.91
random,100,bubble,0.289811,4.61
random,100000,bubble,18580.012828,11.51
ascending,10,bubble,0.00618,2.3
descending,1000,bubble,7.490001,6.91
descending,10,quick,0.030252,2.3
descending,100,insertion,0.291895,4.61
random,100000,merge,46.706808,11.51
ascending,10,quick,0.034966,2.3
random,10000,insertion,61.9472,9.21
descending,100000,bubble,12701.115433,11.51
random,1000,bubble,5.599893,6.91
descending,10000,quick,7.398937,9.21
descending,100000,merge,31.406627,11.51
random,100,insertion,0.187747,4.61
random,100,quick,0.222168,4.61
ascending,10000,merge,3.540028,9.21
ascending,10000,quick,12.776981,9.21
descending,1000,insertion,9.117592,6.91
random,1000000,merge,218.819631,13.82
random,10000,bubble,120.62237,9.21
ascending,10000,bubble,33.811792,9.21
descending,100000,insertion,3790.573217,11.51
random,10,insertion,0.006293,2.3
random,10,bubble,0.005678,2.3
ascending,1000,merge,1.224106,6.91
