Order: ascending Size:1000000 Algo:insertion ,,,,Algorithm,Time (ms),Size (n),Order
47647024,,,,Insertion,47647024,1000000,Ascending
,,,,,,,
Order: random Size:1000 Algo:insertion ,,,,,,,
5324763,,,,,,,
,,,,,,,
Order: descending Size:100 Algo:bubble ,,,,,,,
352752,,,,,,,
,,,,,,,
Order: ascending Size:100000 Algo:quick ,,,,,,,
95696758,,,,,,,
,,,,,,,
Order: descending Size:1000 Algo:merge ,,,,,,,
1133709,,,,,,,
,,,,,,,
Order: ascending Size:100000 Algo:bubble ,,,,,,,
2491352742,,,,,,,
,,,,,,,
Order: ascending Size:1000000 Algo:bubble ,,,,,,,
238923630480,,,,,,,
,,,,,,,
Order: ascending Size:10 Algo:merge ,,,,,,,
21146,,,,,,,
,,,,,,,
Order: random Size:100000 Algo:quick ,,,,,,,
95985174,,,,,,,
,,,,,,,
Order: random Size:10000 Algo:quick ,,,,,,,
5594442,,,,,,,
,,,,,,,
Order: descending Size:1000000 Algo:insertion ,,,,,,,
410839259354,,,,,,,
,,,,,,,
Order: descending Size:1000000 Algo:merge ,,,,,,,
131923313,,,,,,,
,,,,,,,
Order: descending Size:10000 Algo:insertion ,,,,,,,
81895796,,,,,,,
,,,,,,,
Order: random Size:10 Algo:merge ,,,,,,,
16239,,,,,,,
,,,,,,,
Order: descending Size:10 Algo:insertion ,,,,,,,
10655,,,,,,,
,,,,,,,
Order: descending Size:10 Algo:merge ,,,,,,,
16024,,,,,,,
,,,,,,,
Order: descending Size:1000 Algo:quick ,,,,,,,
1744086,,,,,,,
,,,,,,,
Order: ascending Size:100 Algo:quick ,,,,,,,
278550,,,,,,,
,,,,,,,
Order: random Size:1000000 Algo:quick ,,,,,,,
221299243,,,,,,,
,,,,,,,
Order: descending Size:100000 Algo:quick ,,,,,,,
110270963,,,,,,,
,,,,,,,
Order: ascending Size:1000 Algo:insertion ,,,,,,,
45958,,,,,,,
,,,,,,,
Order: random Size:1000 Algo:quick ,,,,,,,
1580193,,,,,,,
,,,,,,,
Order: ascending Size:100 Algo:insertion ,,,,,,,
9360,,,,,,,
,,,,,,,
Order: random Size:10000 Algo:merge ,,,,,,,
5615853,,,,,,,
,,,,,,,
Order: ascending Size:100000 Algo:insertion ,,,,,,,
5552564,,,,,,,
,,,,,,,
Order: descending Size:100 Algo:merge ,,,,,,,
153897,,,,,,,
,,,,,,,
Order: random Size:100000 Algo:insertion ,,,,,,,
1919331306,,,,,,,
,,,,,,,
Order: random Size:100 Algo:merge ,,,,,,,
129618,,,,,,,
,,,,,,,
Order: descending Size:1000000 Algo:quick ,,,,,,,
177972048,,,,,,,
,,,,,,,
Order: descending Size:10 Algo:bubble ,,,,,,,
7808,,,,,,,
,,,,,,,
Order: descending Size:10000 Algo:merge ,,,,,,,
3124815,,,,,,,
,,,,,,,
Order: ascending Size:100 Algo:bubble ,,,,,,,
202351,,,,,,,
,,,,,,,
Order: ascending Size:10 Algo:insertion ,,,,,,,
4882,,,,,,,
,,,,,,,
Order: descending Size:100 Algo:quick ,,,,,,,
248389,,,,,,,
,,,,,,,
Order: descending Size:10000 Algo:bubble ,,,,,,,
138663370,,,,,,,
,,,,,,,
Order: ascending Size:1000 Algo:quick ,,,,,,,
2291535,,,,,,,
,,,,,,,
Order: random Size:1000000 Algo:insertion ,,,,,,,
152804234506,,,,,,,
,,,,,,,
Order: ascending Size:100000 Algo:merge ,,,,,,,
27440398,,,,,,,
,,,,,,,
Order: ascending Size:1000000 Algo:merge ,,,,,,,
149591579,,,,,,,
,,,,,,,
Order: ascending Size:10000 Algo:insertion ,,,,,,,
396006,,,,,,,
,,,,,,,
Order: ascending Size:100 Algo:merge ,,,,,,,
124161,,,,,,,
,,,,,,,
Order: ascending Size:1000000 Algo:quick ,,,,,,,
1071521583,,,,,,,
,,,,,,,
Order: random Size:10 Algo:quick ,,,,,,,
28622,,,,,,,
,,,,,,,
Order: ascending Size:1000 Algo:bubble ,,,,,,,
3933648,,,,,,,
,,,,,,,
Order: random Size:1000 Algo:merge ,,,,,,,
1271244,,,,,,,
,,,,,,,
Order: random Size:100 Algo:bubble ,,,,,,,
289811,,,,,,,
,,,,,,,
Order: random Size:100000 Algo:bubble ,,,,,,,
18580012828,,,,,,,
,,,,,,,
Order: ascending Size:10 Algo:bubble ,,,,,,,
6180,,,,,,,
,,,,,,,
Order: descending Size:1000 Algo:bubble ,,,,,,,
7490001,,,,,,,
,,,,,,,
Order: descending Size:10 Algo:quick ,,,,,,,
30252,,,,,,,
,,,,,,,
Order: descending Size:100 Algo:insertion ,,,,,,,
291895,,,,,,,
,,,,,,,
Order: random Size:100000 Algo:merge ,,,,,,,
46706808,,,,,,,
,,,,,,,
Order: ascending Size:10 Algo:quick ,,,,,,,
34966,,,,,,,
,,,,,,,
Order: random Size:10000 Algo:insertion ,,,,,,,
61947200,,,,,,,
,,,,,,,
Order: descending Size:100000 Algo:bubble ,,,,,,,
12701115433,,,,,,,
,,,,,,,
Order: random Size:1000 Algo:bubble ,,,,,,,
5599893,,,,,,,
,,,,,,,
Order: descending Size:10000 Algo:quick ,,,,,,,
7398937,,,,,,,
,,,,,,,
Order: descending Size:100000 Algo:merge ,,,,,,,
31406627,,,,,,,
,,,,,,,
Order: random Size:100 Algo:insertion ,,,,,,,
187747,,,,,,,
,,,,,,,
Order: random Size:100 Algo:quick ,,,,,,,
222168,,,,,,,
,,,,,,,
Order: ascending Size:10000 Algo:merge ,,,,,,,
3540028,,,,,,,
,,,,,,,
Order: ascending Size:10000 Algo:quick ,,,,,,,
12776981,,,,,,,
,,,,,,,
Order: descending Size:1000 Algo:insertion ,,,,,,,
9117592,,,,,,,
,,,,,,,
Order: random Size:1000000 Algo:merge ,,,,,,,
218819631,,,,,,,
,,,,,,,
Order: random Size:10000 Algo:bubble ,,,,,,,
120622370,,,,,,,
,,,,,,,
Order: ascending Size:10000 Algo:bubble ,,,,,,,
33811792,,,,,,,
,,,,,,,
Order: descending Size:100000 Algo:insertion ,,,,,,,
3790573217,,,,,,,
,,,,,,,
Order: random Size:10 Algo:insertion ,,,,,,,
6293,,,,,,,
,,,,,,,
Order: random Size:10 Algo:bubble ,,,,,,,
5678,,,,,,,
,,,,,,,
Order: ascending Size:1000 Algo:merge ,,,,,,,
1224106,,,,,,,
